subject,use_coral,window_sec,acc_trca,acc_fbcca,acc_ensemble,itr_ensemble,w_trca,w_fbcca
S01,True,1.0,45.83,11.67,46.67,44.59,0.6584,0.1704
S02,True,1.0,17.5,5.83,17.5,3.71,0.6751,0.1769
S03,True,1.0,50.83,17.5,52.5,56.61,0.6806,0.164
S04,True,1.0,18.33,8.33,16.67,3.12,0.6908,0.1741
S05,True,1.0,50.0,15.83,49.17,49.6,0.6482,0.1658
S06,True,1.0,66.67,17.5,64.17,84.24,0.6353,0.1603
S07,True,1.0,43.33,13.33,42.5,36.72,0.6241,0.1788
S08,True,1.0,84.17,13.33,80.0,130.27,0.6334,0.1464
S09,True,1.0,80.0,15.0,76.67,119.64,0.6223,0.1473
S10,True,1.0,80.83,25.83,83.33,141.5,0.6251,0.1547
